LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1686553600.7017143	586.73	713.27	6.97	14.57	0.0	0.0	-0.95	6.09	1300.0	09:06:40.68
1686553601.7044744	586.73	713.27	7.1	14.84	0.0	0.0	-1.24	5.48	1300.0	09:06:41.68
1686553604.872611	586.74	713.27	7.64	14.7	0.0	0.0	-2.41	5.79	1300.01	09:06:44.85
1686553607.1664143	586.71	713.28	6.04	15.51	0.0	0.0	1.09	3.95	1299.99	09:06:47.15
1686553608.1713395	586.73	713.27	6.97	14.3	0.0	0.0	-0.95	6.71	1300.0	09:06:48.16
1686553609.1770244	586.73	713.28	7.24	15.37	0.0	0.0	-1.54	4.25	1300.01	09:06:49.16
1686553610.3922696	586.73	713.26	6.97	14.03	0.0	0.0	-0.95	7.32	1299.99	09:06:50.38
1686553611.3960776	586.72	713.27	6.3	14.7	0.0	0.0	0.51	5.79	1299.99	09:06:51.38
1686553612.3994555	586.73	713.28	7.37	15.37	0.0	0.0	-1.83	4.25	1300.01	09:06:52.38
1686553614.624617	586.73	713.27	7.37	14.7	0.0	0.0	-1.83	5.79	1300.0	09:06:54.61
1686553615.6284869	586.71	713.28	6.17	15.37	0.0	0.0	0.8	4.25	1299.99	09:06:55.61
1686553617.8303568	586.72	713.27	6.7	14.44	0.0	0.0	-0.37	6.4	1299.99	09:06:57.81
1686553618.835451	586.72	713.26	6.84	14.17	0.0	0.0	-0.66	7.01	1299.98	09:06:58.81
1686553621.0505264	586.72	713.28	6.57	14.97	0.0	0.0	-0.08	5.17	1300.0	09:07:01.04
1686553622.055442	586.72	713.27	6.44	14.57	0.0	0.0	0.22	6.09	1299.99	09:07:02.04
1686553624.2625995	586.72	713.27	6.57	14.7	0.0	0.0	-0.08	5.79	1299.99	09:07:04.24
1686553625.2673528	586.72	713.26	6.7	13.9	0.0	0.0	-0.37	7.63	1299.98	09:07:05.24
1686553627.472912	586.71	713.28	6.04	14.97	0.0	0.0	1.09	5.17	1299.99	09:07:07.45
1686553628.4855144	586.71	713.28	6.04	15.51	0.0	0.0	1.09	3.95	1299.99	09:07:08.47
1686553629.684543	586.73	713.27	7.1	14.7	0.0	0.0	-1.24	5.79	1300.0	09:07:09.67
1686553631.693149	586.74	713.28	7.77	15.24	0.0	0.0	-2.7	4.56	1300.02	09:07:11.67
1686553633.89497	586.73	713.27	6.97	14.57	0.0	0.0	-0.95	6.09	1300.0	09:07:13.88
1686553634.9000187	586.72	713.28	6.84	14.97	0.0	0.0	-0.66	5.17	1300.0	09:07:14.88
1686553636.106108	586.73	713.27	6.97	14.3	0.0	0.0	-0.95	6.71	1300.0	09:07:16.08
1686553637.1183598	586.73	713.27	7.24	14.84	0.0	0.0	-1.54	5.48	1300.0	09:07:17.10
1686553638.1231265	586.73	713.27	7.51	14.57	0.0	0.0	-2.12	6.09	1300.0	09:07:18.11
1686553639.341265	586.72	713.27	6.57	14.44	0.0	0.0	-0.08	6.4	1299.99	09:07:19.33
1686553640.3450265	586.71	713.26	6.04	14.03	0.0	0.0	1.09	7.32	1299.97	09:07:20.33
1686553641.347774	586.72	713.27	6.7	14.44	0.0	0.0	-0.37	6.4	1299.99	09:07:21.33
