LinuxTime	Length2	Length4	Tension2	Tension4	TargetLength2	TargetLength4	ErrLength2	ErrLength4	LengthTot	DayTime
1687764937.9248424	576.8	722.94	7.1	15.24	0.0	0.0	0.32	1.22	1299.74	09:35:37.91
1687764938.928783	576.79	722.94	6.44	15.37	0.0	0.0	1.78	0.91	1299.73	09:35:38.91
1687764939.934127	576.79	722.94	6.57	15.1	0.0	0.0	1.48	1.52	1299.73	09:35:39.91
1687764940.9389062	576.8	722.95	7.24	15.77	0.0	0.0	0.02	-0.01	1299.75	09:35:40.92
1687764942.0915098	576.79	722.93	6.3	14.97	0.0	0.0	2.07	1.83	1299.7199999999998	09:35:42.08
1687764943.0960867	576.8	722.95	6.97	16.04	0.0	0.0	0.61	-0.62	1299.75	09:35:43.08
1687764944.099465	576.79	722.94	6.17	15.37	0.0	0.0	2.36	0.91	1299.73	09:35:44.08
1687764946.3694909	576.8	722.94	6.84	15.24	0.0	0.0	0.9	1.22	1299.74	09:35:46.34
1687764947.3842418	576.79	722.93	6.7	14.97	0.0	0.0	1.19	1.83	1299.7199999999998	09:35:47.37
1687764948.6016328	576.81	722.94	7.51	15.51	0.0	0.0	-0.56	0.6	1299.75	09:35:48.59
1687764949.6064677	576.8	722.94	6.97	15.37	0.0	0.0	0.61	0.91	1299.74	09:35:49.59
1687764950.6115308	576.8	722.93	6.97	14.97	0.0	0.0	0.61	1.83	1299.73	09:35:50.59
1687764951.8168528	576.8	722.94	6.97	15.24	0.0	0.0	0.61	1.22	1299.74	09:35:51.80
1687764952.821517	576.79	722.95	6.3	16.31	0.0	0.0	2.07	-1.24	1299.74	09:35:52.80
1687764953.8334556	576.8	722.94	7.24	15.1	0.0	0.0	0.02	1.52	1299.74	09:35:53.82
1687764956.038097	576.8	722.94	6.97	15.64	0.0	0.0	0.61	0.3	1299.74	09:35:56.02
1687764957.0416167	576.79	722.95	6.57	15.77	0.0	0.0	1.48	-0.01	1299.74	09:35:57.02
1687764960.2469046	576.79	722.94	6.7	15.1	0.0	0.0	1.19	1.52	1299.73	09:36:00.23
1687764962.4672327	576.79	722.94	6.57	15.24	0.0	0.0	1.48	1.22	1299.73	09:36:02.45
1687764963.472358	576.8	722.94	7.1	15.37	0.0	0.0	0.32	0.91	1299.74	09:36:03.46
1687764965.6746979	576.8	722.93	7.1	14.84	0.0	0.0	0.32	2.14	1299.73	09:36:05.66
1687764966.6799881	576.81	722.94	7.51	15.37	0.0	0.0	-0.56	0.91	1299.75	09:36:06.66
1687764967.8760812	576.8	722.94	6.84	15.1	0.0	0.0	0.9	1.52	1299.74	09:36:07.86
1687764968.880555	576.8	722.94	6.97	15.24	0.0	0.0	0.61	1.22	1299.74	09:36:08.86
1687764969.8845127	576.8	722.93	7.37	14.84	0.0	0.0	-0.27	2.14	1299.73	09:36:09.87
1687764972.0906637	576.98	722.79	7.1	15.1	0.0	0.0	0.5	1.37	1299.77	09:36:12.07
1687764973.0958095	576.98	722.78	7.1	14.97	0.0	0.0	0.5	1.68	1299.76	09:36:13.07
1687764974.3054643	576.97	722.79	6.7	15.24	0.0	0.0	1.37	1.06	1299.76	09:36:14.29
1687764975.3104067	576.98	722.78	7.37	14.57	0.0	0.0	-0.09	2.6	1299.76	09:36:15.29
1687764977.5316193	576.97	722.79	6.3	15.24	0.0	0.0	2.25	1.06	1299.76	09:36:17.52
1687764978.5364857	577.17	722.66	7.64	15.1	0.0	0.0	-0.49	1.25	1299.83	09:36:18.52
1687764979.5407166	577.15	722.66	6.17	14.57	0.0	0.0	2.72	2.47	1299.81	09:36:19.52
1687764980.7572572	577.15	722.67	6.57	15.51	0.0	0.0	1.85	0.33	1299.82	09:36:20.74
1687764981.762154	577.16	722.66	7.1	14.44	0.0	0.0	0.68	2.78	1299.82	09:36:21.75
1687764982.7672813	577.16	722.65	6.84	14.03	0.0	0.0	1.26	3.7	1299.81	09:36:22.75
1687764984.9748845	577.17	722.6	7.37	14.57	0.0	0.0	0.09	2.41	1299.77	09:36:24.95
1687764985.9871275	577.15	722.58	6.17	15.64	0.0	0.0	2.72	-0.07	1299.73	09:36:25.97
1687764987.1902382	577.17	722.56	7.37	14.44	0.0	0.0	0.09	2.69	1299.73	09:36:27.18
1687764988.1938548	577.15	722.57	6.57	14.57	0.0	0.0	1.85	2.38	1299.72	09:36:28.18
1687764989.1982303	577.16	722.57	7.1	14.84	0.0	0.0	0.68	1.77	1299.73	09:36:29.18
1687764990.4024656	577.16	722.57	7.1	14.7	0.0	0.0	0.68	2.08	1299.73	09:36:30.38
1687764991.406218	577.16	722.57	7.1	14.97	0.0	0.0	0.68	1.46	1299.73	09:36:31.38
1687764992.417942	577.16	722.57	7.24	14.57	0.0	0.0	0.39	2.38	1299.73	09:36:32.40
1687764994.6217623	577.16	722.57	7.24	14.97	0.0	0.0	0.39	1.46	1299.73	09:36:34.61
1687764995.6263905	577.15	722.57	6.57	14.7	0.0	0.0	1.85	2.08	1299.72	09:36:35.61
1687764996.8243837	577.16	722.57	6.97	14.97	0.0	0.0	0.97	1.46	1299.73	09:36:36.81
1687764998.832054	577.15	722.57	6.44	14.7	0.0	0.0	2.14	2.08	1299.72	09:36:38.81
1687765000.0314274	577.16	722.56	6.97	14.3	0.0	0.0	0.97	3.0	1299.7199999999998	09:36:40.02
1687765002.038559	577.59	722.17	7.37	14.3	0.0	0.0	0.52	2.6	1299.76	09:36:42.02
1687765003.2554743	578.47	721.36	7.51	14.44	0.0	0.0	1.1	1.48	1299.83	09:36:43.24
1687765004.2598145	578.46	721.35	7.1	14.17	0.0	0.0	1.97	2.09	1299.81	09:36:44.24
1687765005.2647293	578.46	721.37	7.1	15.1	0.0	0.0	1.97	-0.06	1299.83	09:36:45.25
1687765007.4654975	578.47	721.36	7.91	14.97	0.0	0.0	0.22	0.25	1299.83	09:36:47.45
1687765008.4706438	578.47	721.36	7.91	14.57	0.0	0.0	0.22	1.17	1299.83	09:36:48.45
1687765010.688955	578.47	721.36	7.51	14.57	0.0	0.0	1.1	1.17	1299.83	09:36:50.67
1687765011.6926694	578.46	721.35	7.24	14.03	0.0	0.0	1.68	2.4	1299.81	09:36:51.68
1687765012.8949122	578.42	721.36	6.57	14.84	0.0	0.0	3.11	0.56	1299.78	09:36:52.88
1687765013.9001944	578.4	721.36	7.37	14.57	0.0	0.0	1.33	1.17	1299.76	09:36:53.88
1687765014.9023206	578.37	721.36	6.97	14.44	0.0	0.0	2.17	1.48	1299.73	09:36:54.88
1687765016.1164265	578.38	721.36	7.64	14.84	0.0	0.0	0.71	0.56	1299.74	09:36:56.10
1687765018.124828	578.36	721.35	6.7	14.3	0.0	0.0	2.76	1.78	1299.71	09:36:58.11
1687765019.330741	578.37	721.36	6.97	14.57	0.0	0.0	2.17	1.17	1299.73	09:36:59.31
1687765020.3336797	578.38	721.37	7.51	15.37	0.0	0.0	1.0	-0.67	1299.75	09:37:00.31
1687765021.3452072	578.37	721.36	7.1	14.7	0.0	0.0	1.88	0.86	1299.73	09:37:01.33
1687765024.5713606	578.37	721.35	7.24	14.3	0.0	0.0	1.59	1.78	1299.72	09:37:04.56
1687765026.7963922	578.38	721.36	7.64	14.7	0.0	0.0	0.71	0.86	1299.74	09:37:06.78
1687765027.8031733	578.36	721.36	6.57	14.97	605.0	695.0	2.05	0.8	1299.72	09:37:07.78
1687765029.0096998	580.09	719.64	6.84	14.84	605.0	695.0	0.42	1.52	1299.73	09:37:08.99
1687765030.0136144	582.25	717.49	6.17	14.44	605.0	695.0	2.0	2.54	1299.74	09:37:09.99
1687765031.0299652	584.98	714.81	6.84	14.57	605.0	695.0	1.23	1.84	1299.79	09:37:11.01
1687765032.234638	587.09	712.67	6.84	14.84	605.0	695.0	0.74	1.78	1299.76	09:37:12.21
1687765033.2387357	588.95	710.86	7.51	15.37	605.0	695.0	-1.05	0.99	1299.81	09:37:13.21
1687765034.2544007	591.2	708.57	6.7	15.51	605.0	695.0	0.79	0.67	1299.77	09:37:14.23
1687765036.4771636	597.21	702.54	6.57	14.3	605.0	695.0	1.76	2.41	1299.75	09:37:16.46
1687765037.4819174	599.66	700.1	7.37	14.17	605.0	695.0	-0.03	2.51	1299.76	09:37:17.46
1687765039.7064338	604.61	695.15	7.1	14.57	605.0	695.0	0.1	0.89	1299.76	09:37:19.68
1687765040.7096252	605.12	694.63	6.97	14.44	0.0	0.0	0.59	0.76	1299.75	09:37:20.69
1687765042.9256628	605.11	694.63	6.3	14.17	0.0	0.0	2.05	1.37	1299.74	09:37:22.91
1687765043.930685	605.12	694.64	6.84	15.1	0.0	0.0	0.89	-0.77	1299.76	09:37:23.91
1687765045.1459365	605.11	694.63	6.44	14.44	0.0	0.0	1.76	0.76	1299.74	09:37:25.13
1687765046.1509326	605.12	694.63	6.7	14.44	0.0	0.0	1.18	0.76	1299.75	09:37:26.13
1687765047.1555312	605.12	694.63	6.97	14.3	0.0	0.0	0.59	1.07	1299.75	09:37:27.14
1687765049.394079	605.13	694.64	7.51	14.7	0.0	0.0	-0.57	0.15	1299.77	09:37:29.38
1687765050.3986437	605.12	694.62	6.7	13.77	0.0	0.0	1.18	2.29	1299.74	09:37:30.38
1687765052.6215959	605.12	694.63	6.57	14.3	0.0	0.0	1.47	1.07	1299.75	09:37:32.61
1687765053.626467	605.12	694.64	6.57	14.57	0.0	0.0	1.47	0.45	1299.76	09:37:33.61
1687765054.842075	605.12	694.63	6.7	14.03	0.0	0.0	1.18	1.68	1299.75	09:37:34.83
1687765055.8469596	605.11	694.63	6.3	14.17	0.0	0.0	2.05	1.37	1299.74	09:37:35.83
1687765056.852271	605.12	694.63	6.97	14.03	0.0	0.0	0.59	1.68	1299.75	09:37:36.83
1687765059.0743957	605.13	694.64	7.37	14.57	0.0	0.0	-0.28	0.45	1299.77	09:37:39.06
1687765062.3065524	605.12	694.62	6.97	13.77	0.0	0.0	0.59	2.29	1299.74	09:37:42.28
1687765063.3171852	605.11	694.64	6.04	14.57	0.0	0.0	2.64	0.45	1299.75	09:37:43.30
1687765065.5238492	605.13	694.64	7.37	14.84	0.0	0.0	-0.28	-0.16	1299.77	09:37:45.51
1687765067.7307038	605.11	694.64	5.9	14.57	0.0	0.0	2.93	0.45	1299.75	09:37:47.71
1687765068.7346358	605.12	694.63	6.84	14.44	0.0	0.0	0.89	0.76	1299.75	09:37:48.71
1687765069.7388928	605.11	694.64	5.9	14.57	0.0	0.0	2.93	0.45	1299.75	09:37:49.71
1687765070.9485812	605.12	694.64	6.57	14.84	0.0	0.0	1.47	-0.16	1299.76	09:37:50.94
1687765071.9529545	605.11	694.63	6.3	14.17	0.0	0.0	2.05	1.37	1299.74	09:37:51.94
1687765072.957971	605.12	694.64	6.57	14.57	0.0	0.0	1.47	0.45	1299.76	09:37:52.94
1687765075.1789966	605.11	694.64	6.17	14.7	0.0	0.0	2.35	0.15	1299.75	09:37:55.16
1687765076.1840186	605.12	694.64	6.57	14.57	0.0	0.0	1.47	0.45	1299.76	09:37:56.16
1687765077.3872662	605.11	694.64	6.17	14.97	0.0	0.0	2.35	-0.47	1299.75	09:37:57.37
1687765078.3916128	605.12	694.64	6.84	14.84	0.0	0.0	0.89	-0.16	1299.76	09:37:58.37
1687765079.4047291	605.12	694.65	7.1	15.24	0.0	0.0	0.3	-1.08	1299.77	09:37:59.39
1687765080.6060057	605.12	694.64	6.57	14.7	0.0	0.0	1.47	0.15	1299.76	09:38:00.59
1687765081.6106982	605.11	694.64	6.04	14.84	0.0	0.0	2.64	-0.16	1299.75	09:38:01.59
1687765082.614903	605.12	694.63	6.84	13.9	0.0	0.0	0.89	1.99	1299.75	09:38:02.60
